year,cd_mun,Chronic_resp,Ulcer,Tuberculosis,Dermatitis,Accidents,STD,Pneumonia,HIV,Diabetes
2003,171660,24,2,0,0,0,0,192,0,8
2003,171665,2,2,0,0,0,0,20,0,0
2003,171670,50,4,0,0,0,0,15,0,4
2003,171700,1,0,0,0,0,0,3,0,1
2003,171720,1,0,0,0,0,1,3,0,1
2003,171750,44,3,0,0,0,1,180,1,0
2003,171780,2,0,0,1,0,0,16,0,0
2003,171790,1,3,0,0,0,0,8,0,1
2003,171800,1,2,0,0,0,0,38,0,0
2003,171820,22,44,0,0,0,0,700,1,57
2003,171830,0,1,0,0,0,0,74,0,6
2003,171840,10,0,1,0,0,0,98,1,1
2003,171845,1,4,0,0,0,3,19,0,0
2003,171850,0,2,0,0,0,0,10,0,0
2003,171855,1,0,1,0,0,0,25,0,0
2003,171865,1,2,0,0,0,0,10,0,0
2003,171870,1,1,0,0,0,0,11,0,1
2003,171875,1,2,0,0,0,0,8,0,0
2003,171880,1,1,1,0,0,0,47,1,3
2003,171884,7,0,0,0,0,1,7,0,0
2003,171886,0,1,0,0,0,2,16,0,1
2003,171888,1,0,0,0,0,0,10,0,1
2003,171889,0,0,0,0,0,0,2,0,0
2003,171890,1,1,0,0,0,0,23,0,0
2003,171900,1,3,0,0,0,0,4,0,0
2003,172000,0,0,0,0,0,0,2,0,0
2003,172010,0,1,0,0,0,0,16,0,1
2003,172015,3,0,0,0,0,0,6,0,1
2003,172020,1,0,0,0,0,0,15,2,5
2003,172025,0,0,0,0,0,0,5,0,0
2003,172030,1,0,0,0,0,1,3,0,0
2003,172049,0,0,0,0,0,0,10,0,0
2003,172065,2,4,0,1,0,0,64,0,1
2003,172080,1,1,0,0,0,0,28,1,2
2003,172085,0,3,0,0,0,0,4,0,1
2003,172090,5,3,0,1,0,0,176,0,2
2003,172093,3,2,0,0,0,0,11,0,0
2003,172100,76,88,4,1,0,14,582,1,54
2003,172110,4,0,0,0,0,0,41,0,1
2003,172120,37,6,1,1,0,0,410,1,25
2003,172125,2,1,0,0,0,0,4,0,1
2003,172130,0,0,0,0,0,0,12,0,0
2003,172208,2,2,0,0,0,1,22,3,2
2003,172210,8,7,1,1,0,0,69,1,12
2003,210005,184,9,0,0,0,0,773,6,36
2003,210010,0,1,0,0,0,1,4,0,1
2003,210015,0,0,0,0,0,0,4,0,0
2003,210020,5,9,2,0,1,1,63,0,6
2003,210030,20,17,0,1,0,33,329,0,13
2003,210040,1,1,0,0,0,0,135,0,1
2003,210043,6,1,1,0,0,0,125,0,16
2003,210047,3,24,20,0,0,0,104,0,5
2003,210050,3,2,0,0,0,0,50,0,2
2003,210055,1,0,0,0,0,0,11,0,0
2003,210060,6,5,0,0,0,0,474,0,3
2003,210070,3,3,0,0,0,0,18,0,3
2003,210080,1,3,0,0,0,12,51,0,1
2003,210083,0,1,0,0,0,1,25,0,1
2003,210087,0,0,0,0,0,0,4,0,2
2003,210090,0,4,1,0,0,0,611,0,7
2003,210095,8,3,2,0,0,1,50,0,10
2003,210100,9,8,5,0,0,0,28,0,15
2003,210110,4,9,0,0,0,0,113,0,0
2003,210120,108,38,1,0,0,1,933,7,26
2003,210125,0,3,0,0,0,0,23,0,2
2003,210130,0,2,0,0,0,0,50,0,1
2003,210135,0,0,0,0,0,0,3,0,0
2003,210140,10,16,0,0,0,1,332,0,27
